
Gurobi 7.0.2 (linux64) logging started Thu Jun  8 15:48:18 2017

Changed value of parameter logfile to result/NEIS-20170608T1453/scenario_CO2-price-1000.log
   Prev: gurobi.log  Default: 
Optimize a model with 1059933 rows, 937229 columns and 3961670 nonzeros
Coefficient statistics:
  Matrix range     [8e-04, 1e+05]
  Objective range  [1e+00, 1e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [3e-03, 1e+05]

Concurrent LP optimizer: primal simplex, dual simplex, and barrier
Showing barrier log only...

Presolve removed 580114 rows and 635954 columns
Presolve time: 2.48s
Presolved: 479819 rows, 301275 columns, 1383529 nonzeros

Ordering time: 0.37s

Barrier statistics:
 Dense cols : 22
 AA' NZ     : 1.918e+06
 Factor NZ  : 6.933e+06 (roughly 400 MBytes of memory)
 Factor Ops : 1.616e+08 (less than 1 second per iteration)
 Threads    : 22

                  Objective                Residual
Iter       Primal          Dual         Primal    Dual     Compl     Time
  60   4.74810787e+07  4.74281228e+07  2.30e-06 8.15e-10  7.10e-02    34s
  61   4.74797553e+07  4.74285196e+07  2.22e-06 7.85e-11  6.87e-02    35s
  62   4.74778975e+07  4.74290530e+07  2.11e-06 2.04e-09  6.55e-02    35s
  63   4.74757645e+07  4.74296379e+07  1.98e-06 9.13e-11  6.19e-02    36s
  64   4.74735182e+07  4.74311190e+07  1.84e-06 1.09e-10  5.69e-02    36s
  65   4.74702798e+07  4.74322344e+07  1.65e-06 1.60e-10  5.10e-02    37s
  66   4.74682795e+07  4.74328570e+07  1.53e-06 1.16e-09  4.75e-02    38s
  67   4.74668503e+07  4.74333750e+07  1.45e-06 1.46e-09  4.49e-02    38s
  68   4.74662200e+07  4.74336655e+07  1.41e-06 6.12e-11  4.37e-02    38s
  69   4.74658157e+07  4.74339972e+07  1.38e-06 1.31e-10  4.27e-02    39s
  70   4.74646387e+07  4.74346365e+07  1.31e-06 1.02e-10  4.02e-02    39s
  71   4.74634863e+07  4.74352197e+07  1.24e-06 5.82e-11  3.79e-02    40s
  72   4.74618836e+07  4.74359029e+07  1.15e-06 1.75e-10  3.49e-02    40s
  73   4.74611653e+07  4.74366054e+07  1.11e-06 2.33e-10  3.29e-02    41s
  74   4.74596853e+07  4.74369459e+07  1.02e-06 1.24e-10  3.05e-02    41s
  75   4.74590143e+07  4.74371605e+07  9.77e-07 6.98e-10  2.93e-02    42s
  76   4.74576038e+07  4.74377087e+07  8.91e-07 5.46e-10  2.67e-02    42s
  77   4.74565369e+07  4.74380622e+07  8.26e-07 1.69e-09  2.48e-02    43s
  78   4.74559423e+07  4.74382587e+07  7.87e-07 1.11e-09  2.37e-02    43s
  79   4.74548772e+07  4.74385644e+07  7.23e-07 2.69e-10  2.19e-02    44s
  80   4.74536145e+07  4.74393759e+07  6.44e-07 7.57e-10  1.91e-02    44s
  81   4.74526470e+07  4.74398871e+07  5.86e-07 1.09e-10  1.71e-02    45s
  82   4.74516958e+07  4.74400545e+07  5.30e-07 1.19e-10  1.56e-02    45s
  83   4.74515224e+07  4.74401500e+07  5.19e-07 1.46e-10  1.53e-02    46s
  84   4.74512908e+07  4.74402405e+07  5.05e-07 8.15e-10  1.48e-02    46s
  85   4.74507988e+07  4.74403533e+07  4.75e-07 6.40e-10  1.40e-02    47s
  86   4.74500326e+07  4.74405907e+07  4.31e-07 1.11e-09  1.27e-02    47s
  87   4.74499107e+07  4.74406447e+07  4.23e-07 1.38e-10  1.24e-02    48s
  88   4.74495535e+07  4.74407067e+07  4.02e-07 1.60e-10  1.19e-02    48s
  89   4.74491789e+07  4.74410082e+07  3.80e-07 1.05e-09  1.10e-02    49s
  90   4.74485478e+07  4.74410564e+07  3.42e-07 2.98e-10  1.00e-02    49s
  91   4.74481488e+07  4.74411039e+07  3.17e-07 9.31e-10  9.45e-03    50s
  92   4.74479695e+07  4.74411770e+07  3.07e-07 1.96e-10  9.11e-03    50s
  93   4.74478582e+07  4.74412274e+07  3.00e-07 1.05e-09  8.90e-03    51s
  94   4.74476208e+07  4.74415274e+07  2.85e-07 1.39e-10  8.17e-03    51s
  95   4.74473645e+07  4.74415639e+07  2.69e-07 1.31e-10  7.78e-03    52s
  96   4.74472233e+07  4.74415944e+07  2.61e-07 1.24e-10  7.55e-03    52s
  97   4.74470992e+07  4.74416729e+07  2.54e-07 1.13e-10  7.28e-03    53s
  98   4.74469591e+07  4.74417976e+07  2.45e-07 2.33e-10  6.92e-03    53s
  99   4.74468904e+07  4.74418357e+07  2.41e-07 1.86e-09  6.78e-03    54s
 100   4.74467063e+07  4.74418816e+07  2.29e-07 1.28e-10  6.47e-03    54s
 101   4.74463613e+07  4.74419109e+07  2.09e-07 4.66e-10  5.97e-03    55s
 102   4.74462198e+07  4.74419399e+07  2.00e-07 1.40e-09  5.74e-03    55s
 103   4.74461100e+07  4.74419690e+07  1.93e-07 3.49e-10  5.56e-03    56s
 104   4.74460300e+07  4.74419878e+07  1.89e-07 1.53e-10  5.42e-03    56s
 105   4.74453925e+07  4.74421212e+07  1.53e-07 1.34e-10  4.39e-03    57s
 106   4.74452796e+07  4.74423418e+07  1.47e-07 1.64e-10  3.94e-03    58s
 107   4.74452131e+07  4.74423576e+07  1.42e-07 8.73e-10  3.83e-03    58s
 108   4.74450497e+07  4.74424550e+07  1.32e-07 1.14e-10  3.48e-03    58s
 109   4.74448289e+07  4.74424944e+07  1.18e-07 2.11e-10  3.13e-03    59s
 110   4.74446290e+07  4.74425337e+07  1.06e-07 2.04e-10  2.81e-03    59s
 111   4.74442725e+07  4.74425644e+07  8.46e-08 1.85e-10  2.29e-03    60s
 112   4.74439872e+07  4.74427083e+07  6.73e-08 1.65e-08  1.72e-03    61s
 113   4.74436230e+07  4.74427405e+07  4.49e-08 1.85e-08  1.18e-03    61s
 114   4.74436030e+07  4.74427463e+07  4.36e-08 1.54e-08  1.15e-03    62s
 115   4.74435445e+07  4.74427710e+07  4.00e-08 2.17e-08  1.04e-03    62s
 116   4.74435158e+07  4.74427834e+07  3.82e-08 1.83e-08  9.83e-04    63s
 117   4.74434550e+07  4.74427913e+07  3.44e-08 1.61e-08  8.90e-04    64s
 118   4.74432199e+07  4.74428305e+07  2.69e-08 4.33e-08  5.22e-04    64s
 119   4.74431671e+07  4.74428474e+07  2.27e-08 7.66e-08  4.29e-04    65s
 120   4.74430572e+07  4.74428673e+07  1.34e-08 9.27e-08  2.55e-04    66s
 121   4.74429891e+07  4.74428830e+07  7.56e-09 5.47e-08  1.42e-04    66s
 122   4.74429865e+07  4.74428832e+07  2.00e-08 5.23e-08  1.39e-04    67s
 123   4.74429495e+07  4.74428845e+07  2.09e-07 4.66e-08  8.71e-05    68s
 124   4.74429448e+07  4.74428859e+07  7.31e-07 3.88e-08  7.90e-05    68s
 125   4.74429147e+07  4.74428886e+07  1.85e-06 1.69e-08  3.50e-05    69s
 126   4.74429080e+07  4.74428901e+07  1.32e-06 1.08e-07  2.40e-05    70s
 127   4.74429080e+07  4.74428901e+07  3.64e-06 1.08e-07  2.40e-05    71s
 128   4.74429080e+07  4.74428901e+07  3.63e-06 1.08e-07  2.40e-05    71s
 129   4.74429080e+07  4.74428901e+07  3.63e-06 7.49e-10  2.40e-05    72s
 130   4.74429080e+07  4.74428901e+07  4.08e-06 9.75e-10  2.40e-05    73s
 131   4.74429080e+07  4.74428901e+07  3.65e-06 3.07e-09  2.40e-05    74s
 132   4.74429080e+07  4.74428901e+07  3.65e-06 4.07e-09  2.40e-05    75s
 133   4.74429080e+07  4.74428901e+07  7.87e-06 3.43e-09  2.40e-05    76s
 134   4.74429080e+07  4.74428901e+07  7.87e-06 2.90e-09  2.40e-05    77s
 135   4.74429080e+07  4.74428901e+07  7.87e-06 5.72e-09  2.40e-05    78s
 136   4.74429080e+07  4.74428901e+07  7.87e-06 5.34e-09  2.40e-05    80s

Barrier performed 136 iterations in 79.51 seconds
Sub-optimal termination - objective 4.74429448e+07

Crossover log...

  186881 DPushes remaining with DInf 0.0000000e+00                80s
  115375 DPushes remaining with DInf 0.0000000e+00                80s
   59989 DPushes remaining with DInf 0.0000000e+00                85s
   55657 DPushes remaining with DInf 0.0000000e+00                90s
   51686 DPushes remaining with DInf 0.0000000e+00                95s
   48076 DPushes remaining with DInf 0.0000000e+00               100s
   45188 DPushes remaining with DInf 0.0000000e+00               105s
   42300 DPushes remaining with DInf 0.0000000e+00               110s
   37808 DPushes remaining with DInf 0.0000000e+00               115s
   25847 DPushes remaining with DInf 0.0000000e+00               121s
   17676 DPushes remaining with DInf 0.0000000e+00               125s
   11178 DPushes remaining with DInf 0.0000000e+00               130s
    8547 DPushes remaining with DInf 0.0000000e+00               135s
    3438 DPushes remaining with DInf 0.0000000e+00               140s
       0 DPushes remaining with DInf 4.1495391e-09               142s

  150657 PPushes remaining with PInf 1.4737853e-02               142s
    3788 PPushes remaining with PInf 2.8059603e-02               145s
       0 PPushes remaining with PInf 0.0000000e+00               146s

  Push phase complete: Pinf 0.0000000e+00, Dinf 1.8127399e+05    146s

Iteration    Objective       Primal Inf.    Dual Inf.      Time
  325040    4.7442893e+07   0.000000e+00   1.812740e+05    147s
  325491    4.7442891e+07   0.000000e+00   0.000000e+00    149s

Solved with barrier
Solved in 325491 iterations and 148.89 seconds
Optimal objective  4.744289106e+07
