
Gurobi 7.0.2 (linux64) logging started Thu Jun  8 15:15:57 2017

Changed value of parameter logfile to result/NEIS-20170608T1453/scenario_CO2-price-0010.log
   Prev: gurobi.log  Default: 
Optimize a model with 1059933 rows, 937229 columns and 3961670 nonzeros
Coefficient statistics:
  Matrix range     [8e-04, 1e+05]
  Objective range  [1e+00, 1e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [3e-03, 1e+05]

Concurrent LP optimizer: primal simplex, dual simplex, and barrier
Showing barrier log only...

Presolve removed 580114 rows and 635954 columns
Presolve time: 2.97s
Presolved: 479819 rows, 301275 columns, 1383529 nonzeros

Ordering time: 0.43s

Barrier statistics:
 Dense cols : 22
 AA' NZ     : 1.918e+06
 Factor NZ  : 6.933e+06 (roughly 400 MBytes of memory)
 Factor Ops : 1.616e+08 (less than 1 second per iteration)
 Threads    : 22

                  Objective                Residual
Iter       Primal          Dual         Primal    Dual     Compl     Time
   0   3.74498165e+11 -2.71538744e+11  8.79e+02 6.66e+03  2.06e+07     5s
   1   2.95597984e+11 -9.41542590e+10  6.46e+02 1.38e+04  6.75e+06     5s
   2   2.88628990e+11 -6.53671985e+10  6.37e+02 6.79e+03  5.94e+06     6s
   3   1.92879571e+11 -9.02628060e+10  4.16e+02 2.19e+02  3.94e+06     6s
  60   1.04963157e+07  1.04819453e+07  1.57e-07 6.54e-09  1.93e-02    34s
  61   1.04960509e+07  1.04820102e+07  1.54e-07 6.56e-09  1.88e-02    35s
  62   1.04947039e+07  1.04822658e+07  1.38e-07 7.03e-09  1.67e-02    35s
  63   1.04938818e+07  1.04823072e+07  1.27e-07 7.28e-09  1.55e-02    36s
  64   1.04932351e+07  1.04823888e+07  1.19e-07 7.01e-09  1.45e-02    36s
  65   1.04908921e+07  1.04825772e+07  9.01e-08 6.29e-09  1.11e-02    37s
  66   1.04905982e+07  1.04826350e+07  8.64e-08 5.87e-09  1.07e-02    38s
  67   1.04904609e+07  1.04827300e+07  8.47e-08 5.39e-09  1.04e-02    38s
  68   1.04902435e+07  1.04827533e+07  8.19e-08 5.28e-09  1.00e-02    38s
  69   1.04900028e+07  1.04827710e+07  7.88e-08 5.21e-09  9.69e-03    39s
  70   1.04896538e+07  1.04829034e+07  7.44e-08 3.93e-09  9.05e-03    39s
  71   1.04894369e+07  1.04829639e+07  7.16e-08 3.90e-09  8.68e-03    40s
  72   1.04889110e+07  1.04830391e+07  6.54e-08 3.23e-09  7.87e-03    40s
  73   1.04884833e+07  1.04830619e+07  6.04e-08 2.65e-09  7.27e-03    41s
  74   1.04883961e+07  1.04831042e+07  5.93e-08 2.09e-09  7.09e-03    42s
  75   1.04883104e+07  1.04831603e+07  5.82e-08 9.82e-10  6.90e-03    42s
  76   1.04881192e+07  1.04831990e+07  5.57e-08 3.78e-10  6.60e-03    42s
  77   1.04879238e+07  1.04832261e+07  5.32e-08 5.89e-10  6.30e-03    43s
  78   1.04875986e+07  1.04832695e+07  4.91e-08 1.82e-10  5.80e-03    43s
  79   1.04873849e+07  1.04832912e+07  4.64e-08 6.40e-10  5.49e-03    44s
  80   1.04871443e+07  1.04833598e+07  4.33e-08 1.31e-10  5.07e-03    44s
  81   1.04867216e+07  1.04833948e+07  3.83e-08 7.49e-10  4.46e-03    45s
  82   1.04865883e+07  1.04834483e+07  3.68e-08 2.04e-10  4.21e-03    46s
  83   1.04864575e+07  1.04834886e+07  3.54e-08 8.29e-10  3.98e-03    46s
  84   1.04863418e+07  1.04835161e+07  3.38e-08 1.92e-09  3.79e-03    47s
  85   1.04862208e+07  1.04835229e+07  3.22e-08 2.02e-09  3.62e-03    47s
  86   1.04859092e+07  1.04835611e+07  2.82e-08 3.35e-09  3.15e-03    48s
  87   1.04856661e+07  1.04836098e+07  2.50e-08 5.70e-09  2.76e-03    48s
  88   1.04854686e+07  1.04836368e+07  2.26e-08 2.56e-09  2.46e-03    49s
  89   1.04852266e+07  1.04836494e+07  1.92e-08 2.33e-09  2.11e-03    50s
