
Gurobi 7.0.2 (linux64) logging started Thu Jun  8 13:17:32 2017

Changed value of parameter logfile to result/NEIS-20170608T1255/scenario_base.log
   Prev: gurobi.log  Default: 
Optimize a model with 1059933 rows, 937229 columns and 3961670 nonzeros
Coefficient statistics:
  Matrix range     [8e-04, 1e+05]
  Objective range  [1e+00, 1e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [4e-04, 1e+05]

Concurrent LP optimizer: primal simplex, dual simplex, and barrier
Showing barrier log only...

Presolve removed 580114 rows and 635954 columns
Presolve time: 2.91s
Presolved: 479819 rows, 301275 columns, 1383529 nonzeros

Ordering time: 0.42s

Barrier statistics:
 Dense cols : 22
 AA' NZ     : 1.918e+06
 Factor NZ  : 6.933e+06 (roughly 400 MBytes of memory)
 Factor Ops : 1.616e+08 (less than 1 second per iteration)
 Threads    : 22

                  Objective                Residual
Iter       Primal          Dual         Primal    Dual     Compl     Time
  60   1.00290361e+07  1.00100429e+07  9.83e-08 1.38e-09  2.55e-02    37s
  61   1.00282656e+07  1.00103844e+07  9.09e-08 9.02e-10  2.40e-02    37s
  62   1.00274863e+07  1.00108230e+07  8.35e-08 8.51e-10  2.23e-02    38s
  63   1.00272746e+07  1.00112699e+07  8.15e-08 7.06e-10  2.15e-02    38s
  64   1.00271202e+07  1.00117019e+07  8.00e-08 1.06e-09  2.07e-02    39s
  65   1.00263817e+07  1.00121324e+07  7.28e-08 9.97e-10  1.91e-02    39s
  66   1.00259964e+07  1.00127284e+07  6.91e-08 1.02e-09  1.78e-02    40s
  67   1.00257543e+07  1.00129982e+07  6.67e-08 8.73e-10  1.71e-02    40s
  68   1.00255009e+07  1.00133565e+07  6.42e-08 6.69e-10  1.63e-02    41s
  69   1.00252817e+07  1.00135041e+07  6.21e-08 6.55e-10  1.58e-02    41s
  70   1.00250821e+07  1.00136538e+07  6.02e-08 9.97e-10  1.53e-02    42s
  71   1.00249252e+07  1.00138363e+07  5.87e-08 9.02e-10  1.49e-02    42s
  72   1.00245411e+07  1.00139463e+07  5.50e-08 6.55e-10  1.42e-02    43s
  73   1.00237395e+07  1.00143082e+07  4.78e-08 9.82e-10  1.26e-02    43s
  74   1.00232837e+07  1.00145170e+07  4.35e-08 9.75e-10  1.18e-02    44s
  75   1.00231335e+07  1.00148106e+07  4.21e-08 9.31e-10  1.12e-02    44s
  76   1.00230144e+07  1.00148640e+07  4.09e-08 5.89e-10  1.09e-02    45s
  77   1.00228989e+07  1.00149317e+07  3.98e-08 7.13e-10  1.07e-02    45s
  78   1.00226495e+07  1.00152415e+07  3.76e-08 3.78e-10  9.93e-03    46s
  79   1.00224759e+07  1.00153358e+07  3.59e-08 8.00e-11  9.57e-03    46s
  80   1.00222793e+07  1.00154104e+07  3.40e-08 2.04e-10  9.21e-03    47s
  81   1.00221510e+07  1.00158077e+07  3.28e-08 2.40e-10  8.50e-03    47s
  82   1.00217696e+07  1.00160065e+07  2.93e-08 2.91e-10  7.72e-03    48s
  83   1.00216537e+07  1.00161143e+07  2.81e-08 3.49e-10  7.43e-03    48s
  84   1.00215562e+07  1.00161540e+07  2.72e-08 8.63e-11  7.24e-03    49s
  85   1.00214629e+07  1.00162796e+07  2.63e-08 9.56e-11  6.95e-03    49s
  86   1.00213338e+07  1.00164296e+07  2.51e-08 9.72e-11  6.57e-03    50s
  87   1.00212367e+07  1.00165411e+07  2.40e-08 6.69e-10  6.29e-03    50s
  88   1.00210294e+07  1.00166620e+07  2.21e-08 1.00e-10  5.85e-03    51s
  89   1.00209449e+07  1.00167068e+07  2.13e-08 1.28e-09  5.68e-03    52s
