
Gurobi 7.0.2 (linux64) logging started Thu Jun  8 14:33:59 2017

Changed value of parameter logfile to result/NEIS-20170608T1411/scenario_base.log
   Prev: gurobi.log  Default: 
Optimize a model with 1059933 rows, 937229 columns and 3961670 nonzeros
Coefficient statistics:
  Matrix range     [8e-04, 1e+05]
  Objective range  [1e+00, 1e+00]
  Bounds range     [0e+00, 0e+00]
  RHS range        [1e-04, 1e+05]

Concurrent LP optimizer: primal simplex, dual simplex, and barrier
Showing barrier log only...

Presolve removed 580114 rows and 635954 columns
Presolve time: 3.03s
Presolved: 479819 rows, 301275 columns, 1383529 nonzeros

Ordering time: 0.42s

Barrier statistics:
 Dense cols : 22
 AA' NZ     : 1.918e+06
 Factor NZ  : 6.933e+06 (roughly 400 MBytes of memory)
 Factor Ops : 1.616e+08 (less than 1 second per iteration)
 Threads    : 22

                  Objective                Residual
Iter       Primal          Dual         Primal    Dual     Compl     Time
   0   3.74649451e+11 -2.71577061e+11  8.80e+02 6.66e+03  2.06e+07     5s
   1   2.95698891e+11 -9.43007449e+10  6.48e+02 1.38e+04  6.76e+06     5s
   2   2.88731972e+11 -6.51976768e+10  6.38e+02 6.80e+03  5.94e+06     6s
  60   1.13038274e+07  1.12979995e+07  1.26e-07 6.92e-09  7.81e-03    37s
  61   1.13036406e+07  1.12980367e+07  1.21e-07 6.50e-09  7.51e-03    37s
  62   1.13032617e+07  1.12980950e+07  1.12e-07 5.42e-09  6.93e-03    38s
  63   1.13029326e+07  1.12981259e+07  1.03e-07 4.79e-09  6.44e-03    38s
  64   1.13024744e+07  1.12981491e+07  9.23e-08 4.50e-09  5.80e-03    39s
  65   1.13019637e+07  1.12982592e+07  8.14e-08 4.64e-09  4.97e-03    39s
  66   1.13014900e+07  1.12983351e+07  6.91e-08 1.33e-09  4.23e-03    40s
  67   1.13012601e+07  1.12983505e+07  6.34e-08 2.62e-09  3.90e-03    41s
  68   1.13011737e+07  1.12983920e+07  6.11e-08 7.36e-09  3.73e-03    41s
  69   1.13010481e+07  1.12984328e+07  5.80e-08 5.09e-09  3.51e-03    41s
  70   1.13008809e+07  1.12984409e+07  5.42e-08 6.13e-09  3.27e-03    42s
  71   1.13006635e+07  1.12985083e+07  4.86e-08 1.69e-09  2.89e-03    43s
  72   1.13003916e+07  1.12985205e+07  4.18e-08 2.97e-09  2.51e-03    43s
  73   1.12999424e+07  1.12985433e+07  3.11e-08 6.02e-09  1.88e-03    44s
  74   1.12997427e+07  1.12985594e+07  2.62e-08 3.39e-09  1.59e-03    44s
  75   1.12996645e+07  1.12985856e+07  2.41e-08 1.51e-09  1.45e-03    45s
  76   1.12994953e+07  1.12986040e+07  1.96e-08 1.98e-09  1.19e-03    45s
  77   1.12994343e+07  1.12986118e+07  1.81e-08 6.18e-10  1.10e-03    46s
  78   1.12993898e+07  1.12986238e+07  1.69e-08 9.02e-10  1.03e-03    46s
  79   1.12993528e+07  1.12986347e+07  1.60e-08 7.57e-10  9.63e-04    47s
  80   1.12993147e+07  1.12986446e+07  1.50e-08 6.31e-09  8.98e-04    47s
  81   1.12992898e+07  1.12986494e+07  1.44e-08 7.14e-09  8.59e-04    48s
  82   1.12991760e+07  1.12986552e+07  1.16e-08 1.13e-08  6.98e-04    48s
  83   1.12990772e+07  1.12986665e+07  9.28e-09 7.90e-09  5.51e-04    49s
  84   1.12990733e+07  1.12986702e+07  9.17e-09 3.43e-09  5.40e-04    50s
  85   1.12990622e+07  1.12986712e+07  8.88e-09 1.06e-09  5.24e-04    50s
  86   1.12989987e+07  1.12986742e+07  7.09e-09 3.50e-09  4.35e-04    51s
  87   1.12989321e+07  1.12986775e+07  5.33e-09 1.25e-08  3.41e-04    51s
  88   1.12989060e+07  1.12986849e+07  4.63e-09 1.01e-08  2.96e-04    52s
  89   1.12988848e+07  1.12986889e+07  4.10e-09 8.95e-09  2.63e-04    53s
  90   1.12988764e+07  1.12986907e+07  3.88e-09 8.72e-09  2.49e-04    54s
  91   1.12988559e+07  1.12987001e+07  4.88e-09 5.46e-09  2.09e-04    55s
